Symbol,Security,GICS Sector,GICS Sub Industry,Market cap
CMA,Comerica Inc.,Financials,Diversified Banks,4176611840
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,16643386368
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,10673050624
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,43830214656
ED,Consolidated Edison,Utilities,Electric Utilities,23507417088
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,30683981824
COO,The Cooper Companies,Health Care,Health Care Supplies,15813529600
CPRT,Copart Inc,Industrials,Diversified Support Services,18588895232
GLW,Corning Inc.,Information Technology,Electronic Components,14952627200
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,17040385024
COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,132125147136
COTY,"Coty, Inc",Consumer Staples,Personal Products,2510575872
CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,62570995712
CSX,CSX Corp.,Industrials,Railroads,47458889728
CMI,Cummins Inc.,Industrials,Industrial Machinery,22960947200
CVS,CVS Health,Health Care,Health Care Services,82595020800
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,17162628096
DHR,Danaher Corp.,Health Care,Health Care Equipment,115845234688
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,9036979200
DVA,DaVita Inc.,Health Care,Health Care Facilities,9652649984
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,39519256576
DAL,Delta Air Lines Inc.,Industrials,Airlines,12239881216
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,8261506560
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,4573264896
DXCM,DexCom,Health Care,Health Care Equipment,38575235072
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,6120104448
DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,35087290368
DFS,Discover Financial Services,Financials,Consumer Finance,11639437312
DISCA,Discovery Inc. Class A,Communication Services,Broadcasting,9797085184
DISCK,Discovery Inc. Class C,Communication Services,Broadcasting,9944833024
DISH,Dish Network,Communication Services,Cable & Satellite,12951944192
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,45780762624
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,17808930816
D,Dominion Energy,Utilities,Electric Utilities,65646215168
DPZ,Domino's Pizza,Consumer Discretionary,Restaurants,14709895168
DOV,Dover Corporation,Industrials,Industrial Machinery,12226859008
DOW,Dow Inc.,Materials,Commodity Chemicals,24858933248
DTE,DTE Energy Co.,Utilities,Multi-Utilities,18750777344
DUK,Duke Energy,Utilities,Electric Utilities,59662716928
DRE,Duke Realty Corp,Real Estate,Industrial REITs,11356014592
DD,DuPont de Nemours Inc,Materials,Specialty Chemicals,33351073792
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,3876856576
ETFC,E*Trade,Financials,Investment Banking & Brokerage,8472693760
EMN,Eastman Chemical,Materials,Diversified Chemicals,8149563392
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,29483999232
EBAY,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,29512919040
ECL,Ecolab Inc.,Materials,Specialty Chemicals,56322084864
EIX,Edison Int'l,Utilities,Electric Utilities,20352372736
EW,Edwards Lifesciences,Health Care,Health Care Equipment,45147521024
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,34219186176
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,31630325760
ETR,Entergy Corp.,Utilities,Electric Utilities,19011387392
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,27751954432
EFX,Equifax Inc.,Industrials,Research & Consulting Services,17530421248
EQIX,Equinix,Real Estate,Specialized REITs,56596676608
EQR,Equity Residential,Real Estate,Residential REITs,21259558912
ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,14820312064
EL,Estée Lauder Companies,Consumer Staples,Personal Products,60987432960
EVRG,Evergy,Utilities,Electric Utilities,12819879936
ES,Eversource Energy,Utilities,Multi-Utilities,25700880384
RE,Everest Re Group Ltd.,Financials,Reinsurance,6755403776
EXC,Exelon Corp.,Utilities,Multi-Utilities,34386857984
